close,open,high,low,volume
1162.58000000,1162.88000000,1164.16000000,1161.55000000,1034.71004000
1163.09000000,1162.56000000,1163.49000000,1161.73000000,692.93510000
1161.51000000,1163.09000000,1163.26000000,1161.07000000,486.20436000
1161.55000000,1161.59000000,1162.48000000,1160.50000000,691.40825000
1162.72000000,1161.46000000,1162.72000000,1160.00000000,903.52678000
1162.14000000,1162.42000000,1163.22000000,1160.00000000,963.19899000
1162.16000000,1162.08000000,1165.09000000,1161.48000000,1252.72408000
1164.62000000,1162.33000000,1165.83000000,1162.11000000,1183.70447000
1166.33000000,1164.81000000,1166.86000000,1164.30000000,853.80866000
1169.31000000,1166.52000000,1169.32000000,1166.35000000,853.29444000
1172.55000000,1169.31000000,1174.04000000,1168.99000000,2539.35871000
1171.00000000,1172.55000000,1173.34000000,1170.30000000,1672.21447000
1171.13000000,1171.00000000,1171.91000000,1170.17000000,872.23297000
1176.38000000,1171.21000000,1176.38000000,1171.20000000,1688.69158000
1175.84000000,1176.37000000,1176.98000000,1175.19000000,792.19842000
1177.89000000,1175.84000000,1178.32000000,1174.00000000,1352.56516000
1175.31000000,1177.89000000,1177.99000000,1175.00000000,2139.43542000
1174.38000000,1175.31000000,1175.54000000,1173.63000000,701.31296000
1174.91000000,1174.38000000,1175.95000000,1173.42000000,953.14292000
1176.89000000,1174.91000000,1177.54000000,1174.49000000,972.07679000
1173.78000000,1176.94000000,1177.16000000,1173.70000000,1019.09036000
1171.12000000,1173.78000000,1174.82000000,1170.92000000,1198.61725000
1168.25000000,1171.19000000,1171.19000000,1167.96000000,1438.66664000
1164.70000000,1168.21000000,1168.71000000,1164.55000000,1487.36700000
1162.34000000,1164.71000000,1165.39000000,1162.04000000,763.11667000
1163.35000000,1162.48000000,1164.66000000,1162.21000000,743.61331000
1163.97000000,1163.48000000,1163.97000000,1162.04000000,697.90569000
1166.52000000,1164.07000000,1169.47000000,1164.07000000,1169.82793000
1166.53000000,1166.55000000,1170.00000000,1166.23000000,1249.50138000
1168.85000000,1166.35000000,1169.69000000,1166.18000000,1031.40100000
1169.85000000,1168.63000000,1171.61000000,1168.58000000,939.74560000
